domain,metric,value,interpretation
synthetic_2d,detector_component_gate_top50_improvement,2.0,top-50 gain over the prior all-triples gate
synthetic_2d,detector_component_gate_best_top1_cases,0.0,0 means component waveform gate is still not deployable top-1
synthetic_2d,detector_component_gate_ready_for_fwi,0.0,0 means component gate does not justify detector-seeded FWI
synthetic_2d,detector_component_selector_candidate_count,975.0,truth-free component selector candidates tested
synthetic_2d,detector_component_selector_best_in_sample_cases,1.0,best top-1 in-sample all-truth recovery after selector tuning
synthetic_2d,detector_component_selector_leave_one_case_cases,0.0,leave-one-case validated top-1 all-truth recovery
synthetic_2d,detector_component_selector_leave_one_seed_cases,0.0,leave-one-seed validated top-1 all-truth recovery
synthetic_2d,detector_component_selector_ready_for_fwi,0.0,0 means selector audit does not justify detector-seeded FWI
synthetic_2d,detector_geometry_selector_candidate_count,2160.0,branch-family geometry-prior selector candidates tested
synthetic_2d,detector_geometry_selector_best_in_sample_cases,3.0,best in-sample top-1 all-truth recovery with geometry-family priors
synthetic_2d,detector_geometry_selector_leave_one_case_cases,2.0,leave-one-case top-1 all-truth recovery with geometry-family priors
synthetic_2d,detector_geometry_selector_leave_one_case_improvement,2.0,validated improvement over the previous component selector
synthetic_2d,detector_geometry_selector_ready_for_fwi,0.0,0 means geometry-family selector still does not justify detector-seeded FWI
synthetic_2d,detector_selector_gap_selected_all_truth_cases,3.0,top-1 all-truth recovery for the selector being decomposed
synthetic_2d,detector_selector_gap_failed_cases,9.0,cases where the truth-free selector still chooses a wrong triple
synthetic_2d,detector_selector_gap_best_truth_available_cases,12.0,cases with an all-truth triple available in the saved candidate space
synthetic_2d,detector_selector_gap_median_required_gain,0.18097749906867877,median selector-score gain needed for truth to beat the selected wrong triple
synthetic_2d,detector_selector_gap_max_required_gain,0.5505405776977454,largest selector-score gain needed for truth to beat the selected wrong triple
synthetic_2d,detector_selector_gap_ready_for_fwi,0.0,"0 means gap decomposition supports a guardrail, not detector-seeded FWI"
synthetic_2d,detector_selector_counterfactual_variant_count,44.0,simple counterfactual selector reweightings tested
synthetic_2d,detector_selector_counterfactual_best_all_truth_cases,3.0,best top-1 all-truth recovery across counterfactual reweightings
synthetic_2d,detector_selector_counterfactual_improvement_over_base,0.0,0 means simple reweighting does not beat the current selector
synthetic_2d,detector_selector_counterfactual_signed_gap_zero_cases,1.0,top-1 all-truth cases after removing the signed-gap prior
synthetic_2d,detector_selector_counterfactual_best_median_gain,0.1541958996372459,best median selector gain still needed for failed cases
synthetic_2d,detector_selector_counterfactual_ready_for_fwi,0.0,"0 means counterfactual sensitivity remains a guardrail, not an FWI trigger"
synthetic_2d,detector_image_rank_best_top50_cases,0.0,cases where image objective ranks first all-truth inside top-50
synthetic_2d,detector_image_rank_best_top200_cases,1.0,cases where image objective ranks first all-truth inside top-200
synthetic_2d,detector_image_rank_best_top1000_cases,6.0,cases where image objective ranks first all-truth inside top-1000
synthetic_2d,detector_image_rank_best_median_first_truth_rank,639.0,rank depth of first all-truth row under the best image objective
synthetic_2d,detector_image_rank_previous_oracle_cases,7.0,per-case policy-oracle all-truth cases from the source image-objective context
synthetic_2d,detector_image_rank_ready_for_fwi,0.0,0 means saved image objective does not justify detector-seeded FWI
synthetic_2d,detector_target_failure_failed_cases,9.0,cases where the truth-free selector drops at least one target
synthetic_2d,detector_target_failure_missing_target0_cases,5.0,selector failures that drop target0
synthetic_2d,detector_target_failure_missing_target1_cases,7.0,selector failures that drop target1
synthetic_2d,detector_target_failure_missing_target2_cases,3.0,selector failures that drop target2
synthetic_2d,detector_target_failure_multi_target_cases,5.0,selector failures that drop more than one target
synthetic_2d,detector_target_failure_target1_median_gain,0.28614967362496546,median selector-score gain needed when target1 is dropped
synthetic_2d,detector_target_failure_ready_for_fwi,0.0,"0 means target-failure taxonomy remains analysis, not detector-seeded FWI"
synthetic_2d,detector_depth_slot_prior_variant_count,72.0,depth/slot prior variants tested on saved detector rows
synthetic_2d,detector_depth_slot_prior_base_all_truth_cases,3.0,baseline selector all-truth cases before depth/slot priors
synthetic_2d,detector_depth_slot_prior_best_all_truth_cases,5.0,best all-truth cases after broad depth/slot prior probe
synthetic_2d,detector_depth_slot_prior_improvement_cases,2.0,all-truth case gain from the best depth/slot prior variant
synthetic_2d,detector_depth_slot_prior_best_missing_target1_cases,4.0,remaining target1 misses under the best depth/slot prior variant
synthetic_2d,detector_depth_slot_prior_ready_for_fwi,0.0,"0 means the prior probe remains feature analysis, not detector-seeded FWI"
synthetic_2d,detector_slot_component_variant_count,120.0,branch-slot component assembly variants tested on saved detector rows
synthetic_2d,detector_slot_component_current_triple_cases,3.0,current triple selector all-truth cases before slot assembly
synthetic_2d,detector_slot_component_depth_prior_cases,5.0,best all-truth cases from the prior depth/slot probe
synthetic_2d,detector_slot_component_best_slot_cases,12.0,branch-slot upper-bound cases with all target slots hit
synthetic_2d,detector_slot_component_min_component_candidates,16.0,minimum unique detector components available per case
synthetic_2d,detector_slot_component_ready_for_fwi,0.0,"0 means slot assembly is an upper-bound contract, not detector-seeded FWI"
synthetic_2d,detector_blind_envelope_variant_count,288.0,blind component-envelope variants tested on saved detector rows
synthetic_2d,detector_blind_envelope_best_slot_cases,12.0,best truth-free inference cases with all target slots hit
synthetic_2d,detector_blind_envelope_leave_one_cases,12.0,leave-one-case selected variants with all target slots hit
synthetic_2d,detector_blind_envelope_known_slot_upper_bound_cases,12.0,known-slot component upper-bound cases used as comparison
synthetic_2d,detector_blind_envelope_uses_branch_slots,0.0,0 means inference did not use branch slot coordinates
synthetic_2d,detector_blind_envelope_ready_for_fwi,0.0,0 means blind envelope assembly remains saved-evidence policy analysis
synthetic_2d,detector_upper_bound_minimal_all_case_triples,200.0,minimal rank-gated detector budget that covers all saved cases
synthetic_2d,detector_upper_bound_all_truth_cases,12.0,all-truth cases covered by the best rank-gated upper-bound strategy
synthetic_2d,detector_upper_bound_ready_for_claim,1.0,1 means detector evidence has a paper-safe upper-bound role
synthetic_2d,detector_upper_bound_ready_for_fwi,0.0,0 means upper-bound policy does not justify detector-seeded FWI
field_2d,field_cue_timing_short_inside_envelope_count,3.0,short relative-timing anchors inside the conservative envelope
field_2d,field_cue_timing_short_content_inside_envelope_count,2.0,content-backed short anchors inside the conservative envelope
field_2d,field_cue_timing_long_reject_short_transfer_count,8.0,long pattern anchors outside the short-transfer timing envelope
field_2d,field_cue_timing_ready_for_short_qc,1.0,1 means short-pair relative timing QC remains supported
field_2d,field_cue_timing_ready_for_field_fwi,0.0,0 means timing envelope remains field QC only
field_2d,field_spatial_transfer_short_covered_count,1.0,short content anchors spatially covered by a long pattern anchor
field_2d,field_spatial_transfer_long_covered_count,1.0,long pattern anchors spatially covered by a short content anchor
field_2d,field_spatial_transfer_median_long_distance_mm,701.5965,median nearest short-content distance for long pattern anchors
field_2d,field_spatial_transfer_ready_for_transfer,0.0,0 means short timing cannot be transferred to long profiles
field_2d,field_spatial_transfer_ready_for_field_fwi,0.0,0 means spatial-transfer audit does not justify field FWI
field_2d,field_anchor_interval_short_inside_count,3.0,short timing anchors inside all-window supported intervals
field_2d,field_anchor_interval_content_inside_count,2.0,content-backed short anchors inside all-window supported intervals
field_2d,field_anchor_interval_min_margin_mm,13.331999999999994,minimum anchor margin to supported interval edge
field_2d,field_anchor_interval_ready_for_short_qc,1.0,1 means short relative timing anchors coincide with supported intervals
field_2d,field_anchor_interval_ready_for_field_fwi,0.0,0 means interval reconciliation does not justify field FWI
field_2d,field_dimensionality_is_3d_survey,0.0,0 means the local GSSI dataset remains independent 2D line profiles
field_2d,field_dimensionality_ready_for_short_qc,1.0,1 means short-profile relative timing QC is supported
field_2d,field_dimensionality_ready_for_long_transfer,0.0,0 means short timing should not be transferred to long profiles
field_2d,field_dimensionality_ready_for_3d_hpc,0.0,0 means no field-data 3D/HPC job should be submitted
field_2d,field_dimensionality_ready_for_field_fwi,0.0,0 means measured-field FWI remains blocked
field_2d,field_dimensionality_decision_gate_count,8.0,decision gates represented in the field dimensionality card
field_2d,field_time_zero_ladder_ready_short_qc,1.0,1 means the consolidated field ladder supports short-profile relative timing QC
field_2d,field_time_zero_ladder_ready_long_transfer,0.0,0 means short timing should not be transferred to long profiles
field_2d,field_time_zero_ladder_ready_absolute_t0,0.0,0 means the field data do not support absolute time-zero calibration
field_2d,field_time_zero_ladder_ready_field_fwi,0.0,"0 means the field ladder remains QC-only, not FWI-ready"
field_2d,field_time_zero_ladder_short_half_width_ns,0.058939096267190516,conservative half-width for short relative timing QC
field_2d,field_time_zero_ladder_ladder_row_count,7.0,number of evidence gates represented in the consolidated ladder
