domain,claim_order,claim_area,paper_use_tier,allowed_claim,not_allowed
field_2d,10,field_time_zero_uncertainty_budget,field_supplement_result,"Use the relative time-zero uncertainty budget for short 014/016 QC, robustness accounting, and manuscript uncertainty bounds.","Do not convert the relative uncertainty budget into absolute time-zero, field FWI, 3D, radius, or cover-depth claims."
field_2d,11,field_time_zero_perturbation_sensitivity,field_supplement_guardrail,Use the perturbation sensitivity audit to show that the short 014/016 B-scan QC remains supported under bootstrap-CI and conservative relative-offset perturbations.,"Do not convert perturbation robustness into absolute time-zero, field FWI, 3D, radius, or cover-depth claims."
field_2d,12,field_early_time_anchor_negative_qc,field_supplement_guardrail,Use the early-time median-trace audit as a negative control showing that common-mode/direct-wave alignment does not reproduce the content-backed short-pair offset.,"Do not use the early direct/ringdown component as an absolute time-zero calibration, field FWI anchor, 3D inversion input, or replacement for content-backed timing."
field_2d,13,field_timing_anchor_conflict,field_supplement_result,"Use the timing-anchor conflict synthesis to keep short content-backed relative timing, early common-mode timing, and long pattern-only timing as separate scoped QC anchors.","Do not average or reconcile these anchors into absolute time-zero, cover-depth/radius recovery, field FWI, 3D inversion, or synthetic-policy relabeling."
field_2d,14,field_timing_window_family_classification,field_supplement_result,"Use the timing window-family classification to show that strict early windows are common-mode near-zero, short content windows support the relative correction envelope, and long shallow windows remain pattern-only.","Do not convert window-family separation into absolute time-zero, cover-depth/radius recovery, field FWI, 3D inversion, or synthetic-policy relabeling."
field_2d,15,field_timing_discriminant_scorecard,field_supplement_guardrail,"Use the timing-discriminant scorecard to report that early, short-content, raw/no-correction, and long-pattern timing windows are separable scoped QC evidence.","Do not convert the timing discriminants into absolute time-zero, cover-depth/radius recovery, field FWI, 3D inversion, or synthetic-policy relabeling."
field_2d,16,field_cue_spacing_context,field_supplement_result,Use cue-spacing threshold sensitivity as measured-field context showing visible cues remain wider than the synthetic close-spacing stress scale.,"Do not use measured cue spacing as known-truth rebar separation, synthetic resolution validation, calibrated cover-depth/radius evidence, field FWI, 3D inversion, or synthetic-policy relabeling."
field_2d,17,field_acquisition_readiness,guardrail,Use the acquisition readiness audit to justify the field dataset as dense 2D line-profile QC with no current field FWI or 3D HPC priority.,Do not submit field FWI/3D HPC jobs or infer volumetric survey geometry from this dataset without external layout metadata or a new calibrated acquisition.
field_2d,18,field_hpc_dimensionality,field_supplement_guardrail,Use the dimensionality decision card to report that the current archive contains four independent dense 2D line profiles suitable for scoped field QC.,"Do not treat the current field dataset as a 3D/HPC/FWI workload without external survey layout metadata, calibrated target geometry, and absolute timing/depth controls."
field_2d,19,field_apparent_depth_scale_qc,field_supplement_guardrail,Use the apparent-depth QC figure as a relative scale guardrail for field cue timing and short-pair residuals.,"Do not convert apparent-depth scale QC into calibrated cover-depth recovery, radius recovery, 3D, or measured-data FWI."
field_2d,20,field_apparent_depth_sensitivity,field_supplement_guardrail,Use the apparent-depth sensitivity figure to show that the field depth scale depends strongly on dielectric and time-zero assumptions.,Do not report calibrated cover depth from the field cues while the apparent-depth span remains dielectric/time-zero sensitive.
field_2d,21,field_hyperbola_timezero_degeneracy,field_supplement_guardrail,Use the hyperbola/time-zero degeneracy figure as negative identifiability evidence for measured field inversion.,"Do not promote hyperbola/common-offset overlays to cover-depth, radius, 3D, or measured-data FWI recovery while score surfaces retain boundary and near-top degeneracy."
