domain,figure_order,figure_key,paper_role,source_run,policy_or_status,metric_summary,use_summary,figure_path
field_2d,12,field_time_zero_perturbation_sensitivity,field_primary_supplement,078_gssi51600s_field_time_zero_perturbation_sensitivity,field_time_zero_ci_perturbation_stack_robust,bootstrap_ci_supported_count=9.0,short-profile time-zero perturbation sensitivity QC,outputs/field_experiments/local_gssi_51600s_2026_06_09/078_gssi51600s_field_time_zero_perturbation_sensitivity/figures/field_time_zero_perturbation_sensitivity.png
field_2d,13,field_early_time_anchor_negative_qc,field_guardrail_supplement,090_gssi51600s_field_early_time_anchor_audit,field_early_time_common_mode_not_content_time_zero,short_early_vs_content_delta_ns=0.12770137524557956,early-time common-mode negative QC for absolute time-zero,outputs/field_experiments/local_gssi_51600s_2026_06_09/090_gssi51600s_field_early_time_anchor_audit/figures/field_early_time_anchor_audit.png
field_2d,14,field_timing_anchor_conflict,field_primary_supplement,097_gssi51600s_field_timing_anchor_conflict_synthesis,field_timing_anchor_conflict_short_relative_not_absolute,early_vs_short_delta_half_widths=2.1666666666666687,"timing-anchor conflict boundary, not absolute time-zero or field FWI",outputs/field_experiments/local_gssi_51600s_2026_06_09/097_gssi51600s_field_timing_anchor_conflict_synthesis/figures/field_timing_anchor_conflict.png
field_2d,15,field_timing_window_family_classification,field_primary_supplement,101_gssi51600s_field_timing_window_family_classification,field_timing_window_family_classification_ready_not_absolute,short_nonraw_supported_count=18.0,"window-family timing classification, not absolute time-zero or field FWI",outputs/field_experiments/local_gssi_51600s_2026_06_09/101_gssi51600s_field_timing_window_family_classification/figures/field_timing_window_family_classification.png
field_2d,16,field_timing_discriminant_scorecard,field_guardrail_supplement,105_gssi51600s_field_timing_discriminant_scorecard,field_timing_discriminant_scorecard_ready_not_absolute,score_row_count=4.0,"row-level timing discriminants, not absolute time-zero or field FWI",outputs/field_experiments/local_gssi_51600s_2026_06_09/105_gssi51600s_field_timing_discriminant_scorecard/figures/field_timing_discriminant_scorecard.png
field_2d,17,field_cue_spacing_threshold_sensitivity,field_primary_supplement,094_gssi51600s_field_cue_spacing_sensitivity_audit,field_cue_spacing_context_threshold_robust_not_resolution_benchmark,min_same_time_lateral_spacing_mm=96.657,"measured cue-spacing context, not known-truth resolution benchmark",outputs/field_experiments/local_gssi_51600s_2026_06_09/094_gssi51600s_field_cue_spacing_sensitivity_audit/figures/field_cue_spacing_threshold_sensitivity.png
field_2d,18,field_acquisition_readiness_audit,field_guardrail_supplement,081_gssi51600s_field_acquisition_readiness_audit,field_acquisition_readiness_2d_qc_not_hpc_fwi,readiness_row_count=11.0,field acquisition and HPC-readiness boundary,outputs/field_experiments/local_gssi_51600s_2026_06_09/081_gssi51600s_field_acquisition_readiness_audit/figures/field_acquisition_readiness_audit.png
field_2d,19,field_hpc_dimensionality_decision_card,field_guardrail_supplement,106_gssi51600s_field_hpc_dimensionality_decision_card,gssi51600s_field_hpc_dimensionality_decision_2d_only_no_hpc,profile_count=4.0,2D-only/no-HPC dimensionality decision,outputs/field_experiments/local_gssi_51600s_2026_06_09/106_gssi51600s_field_hpc_dimensionality_decision_card/figures/field_hpc_dimensionality_decision_card.png
field_2d,20,field_apparent_depth_scale_qc,field_guardrail_supplement,084_gssi51600s_field_apparent_depth_qc,field_apparent_depth_qc_relative_scale_not_cover_depth,max_corrected_depth_residual_mm=4.908193483955463,relative apparent-depth scale QC guardrail,outputs/field_experiments/local_gssi_51600s_2026_06_09/084_gssi51600s_field_apparent_depth_qc/figures/field_apparent_depth_qc.png
field_2d,21,field_apparent_depth_sensitivity_qc,field_guardrail_supplement,085_gssi51600s_field_apparent_depth_sensitivity,field_apparent_depth_sensitivity_not_calibrated_cover_depth,max_apparent_depth_sensitivity_factor=2.1813129488623386,"dielectric/time-zero sensitivity guardrail, not calibrated cover depth",outputs/field_experiments/local_gssi_51600s_2026_06_09/085_gssi51600s_field_apparent_depth_sensitivity/figures/field_apparent_depth_sensitivity.png
field_2d,22,field_hyperbola_timezero_degeneracy,field_guardrail_supplement,086_gssi51600s_field_hyperbola_timezero_degeneracy_audit,field_hyperbola_timezero_degeneracy_not_calibrated_inversion,boundary_best_surface_count=3.0,hyperbola/time-zero score degeneracy guardrail,outputs/field_experiments/local_gssi_51600s_2026_06_09/086_gssi51600s_field_hyperbola_timezero_degeneracy_audit/figures/field_hyperbola_timezero_degeneracy.png
