domain,figure_key,source_run,policy_or_status,use_summary,metric_summary,figure_path,file_exists,figure_validated,figure_issue,figure_nonwhite_fraction,figure_dynamic_range,figure_width,figure_height,declared_validation_status,allowed_claim,prohibited_claim
field_2d,field_event_support_tiers,110_gssi51600s_field_event_support_tiers_post_timing_discriminant_hpc,field_event_support_tiers_timing_discriminant_hpc_2d_qc_ready_not_fwi,measured-field event support tier table,tier_row_count=11.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/110_gssi51600s_field_event_support_tiers_post_timing_discriminant_hpc/figures/field_event_support_tiers.png,True,True,,0.44970578056710264,255.0,2314.0,1481.0,,,
field_2d,field_time_zero_uncertainty_budget,075_gssi51600s_field_time_zero_uncertainty_budget,field_time_zero_uncertainty_budget_short_pair_relative_qc_not_absolute,short-profile relative time-zero uncertainty budget,conservative_half_width_ns=0.058939096267190516,outputs/field_experiments/local_gssi_51600s_2026_06_09/075_gssi51600s_field_time_zero_uncertainty_budget/figures/field_time_zero_uncertainty_budget.png,True,True,,0.32239021865827877,255.0,2654.0,1379.0,,,
field_2d,field_time_zero_perturbation_sensitivity,078_gssi51600s_field_time_zero_perturbation_sensitivity,field_time_zero_ci_perturbation_stack_robust,short-profile time-zero perturbation sensitivity QC,bootstrap_ci_supported_count=9.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/078_gssi51600s_field_time_zero_perturbation_sensitivity/figures/field_time_zero_perturbation_sensitivity.png,True,True,,0.0933396466087378,255.0,2773.0,869.0,,,
field_2d,field_early_time_anchor_negative_qc,090_gssi51600s_field_early_time_anchor_audit,field_early_time_common_mode_not_content_time_zero,early-time common-mode negative QC for absolute time-zero,short_early_vs_content_delta_ns=0.12770137524557956,outputs/field_experiments/local_gssi_51600s_2026_06_09/090_gssi51600s_field_early_time_anchor_audit/figures/field_early_time_anchor_audit.png,True,True,,0.3487238546235466,255.0,2909.0,971.0,,,
field_2d,field_timing_anchor_conflict,097_gssi51600s_field_timing_anchor_conflict_synthesis,field_timing_anchor_conflict_short_relative_not_absolute,"timing-anchor conflict boundary, not absolute time-zero or field FWI",early_vs_short_delta_half_widths=2.1666666666666687,outputs/field_experiments/local_gssi_51600s_2026_06_09/097_gssi51600s_field_timing_anchor_conflict_synthesis/figures/field_timing_anchor_conflict.png,True,True,,0.3001544271669495,255.0,2535.0,903.0,,,
field_2d,field_timing_window_family_classification,101_gssi51600s_field_timing_window_family_classification,field_timing_window_family_classification_ready_not_absolute,"window-family timing classification, not absolute time-zero or field FWI",short_nonraw_supported_count=18.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/101_gssi51600s_field_timing_window_family_classification/figures/field_timing_window_family_classification.png,True,True,,0.28533286082880854,255.0,2467.0,835.0,,,
field_2d,field_timing_discriminant_scorecard,105_gssi51600s_field_timing_discriminant_scorecard,field_timing_discriminant_scorecard_ready_not_absolute,"row-level timing discriminants, not absolute time-zero or field FWI",score_row_count=4.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/105_gssi51600s_field_timing_discriminant_scorecard/figures/field_timing_discriminant_scorecard.png,True,True,,0.25217650766436855,255.0,2569.0,801.0,,,
field_2d,field_cue_spacing_threshold_sensitivity,094_gssi51600s_field_cue_spacing_sensitivity_audit,field_cue_spacing_context_threshold_robust_not_resolution_benchmark,"measured cue-spacing context, not known-truth resolution benchmark",min_same_time_lateral_spacing_mm=96.657,outputs/field_experiments/local_gssi_51600s_2026_06_09/094_gssi51600s_field_cue_spacing_sensitivity_audit/figures/field_cue_spacing_threshold_sensitivity.png,True,True,,0.22664169730037995,255.0,2331.0,835.0,,,
field_2d,field_acquisition_readiness_audit,081_gssi51600s_field_acquisition_readiness_audit,field_acquisition_readiness_2d_qc_not_hpc_fwi,field acquisition and HPC-readiness boundary,readiness_row_count=11.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/081_gssi51600s_field_acquisition_readiness_audit/figures/field_acquisition_readiness_audit.png,True,True,,0.2020173823393859,255.0,2535.0,903.0,,,
field_2d,field_hpc_dimensionality_decision_card,106_gssi51600s_field_hpc_dimensionality_decision_card,gssi51600s_field_hpc_dimensionality_decision_2d_only_no_hpc,2D-only/no-HPC dimensionality decision,profile_count=4.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/106_gssi51600s_field_hpc_dimensionality_decision_card/figures/field_hpc_dimensionality_decision_card.png,True,True,,0.1867093240235783,255.0,2484.0,869.0,,,
field_2d,field_apparent_depth_scale_qc,084_gssi51600s_field_apparent_depth_qc,field_apparent_depth_qc_relative_scale_not_cover_depth,relative apparent-depth scale QC guardrail,max_corrected_depth_residual_mm=4.908193483955463,outputs/field_experiments/local_gssi_51600s_2026_06_09/084_gssi51600s_field_apparent_depth_qc/figures/field_apparent_depth_qc.png,True,True,,0.1921145241879124,255.0,2654.0,1515.0,,,
field_2d,field_apparent_depth_sensitivity_qc,085_gssi51600s_field_apparent_depth_sensitivity,field_apparent_depth_sensitivity_not_calibrated_cover_depth,"dielectric/time-zero sensitivity guardrail, not calibrated cover depth",max_apparent_depth_sensitivity_factor=2.1813129488623386,outputs/field_experiments/local_gssi_51600s_2026_06_09/085_gssi51600s_field_apparent_depth_sensitivity/figures/field_apparent_depth_sensitivity.png,True,True,,0.2770245699268722,255.0,2739.0,1515.0,,,
field_2d,field_hyperbola_timezero_degeneracy,086_gssi51600s_field_hyperbola_timezero_degeneracy_audit,field_hyperbola_timezero_degeneracy_not_calibrated_inversion,hyperbola/time-zero score degeneracy guardrail,boundary_best_surface_count=3.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/086_gssi51600s_field_hyperbola_timezero_degeneracy_audit/figures/field_hyperbola_timezero_degeneracy.png,True,True,,0.28846860589673423,255.0,2739.0,1515.0,,,
